rank_abs,feature,correlation,abs_correlation,r_squared,slope_status_on_feature,intercept,p_value,mean,sd
158,ampStd_H_L2,0.16318375150481756,0.16318375150481756,0.026628936755186048,5.732242139243651,1.1135820286749738,0.0010549634203700067,0.06741131339856707,0.03186771613631967
159,ampStd_H_L1,0.16300680814022744,0.16300680814022744,0.02657121950006492,24.906863891642207,1.07174958909198,0.00106848803251471,0.01719407199441615,0.007326309312394164
160,meanA_HV,-0.1614189523713707,0.1614189523713707,0.026056078184670838,-1.1922723925594967,1.4877964783767934,0.0011972041078772253,-0.010235514719089343,0.15155755514874925
161,log2E_H_L1,0.15681604634048787,0.15681604634048787,0.02459127238986204,0.16351613564515208,3.2131506844719624,0.0016552484934975384,-10.476951878251862,1.0735652353950673
162,ampEntropy_H_L6,0.15583207345752045,0.15583207345752045,0.02428363511807005,5.212378234366357,-2.7308185339576463,0.0017719804627288804,0.8116867855181592,0.03346720785720813
163,axisMean_j_V_L1,-0.15204003910793557,0.15204003910793557,0.023116173491942577,-45.341120545822776,1.6696384839980172,0.0022958226791120794,0.0037413826997631573,0.0037537407760379706
164,ampKurt_H_L2,-0.15201915098619134,0.15201915098619134,0.02310982226656244,-0.019921391127226146,1.7759649153848585,0.0022990637296200827,13.852692998316922,8.542346719681369
165,axisMean_i_V_L2,-0.1441912707358054,0.1441912707358054,0.02079112255640633,-1500.6550768095087,1.4534782294231399,0.0038534366354210305,-3.100097503802709e-05,0.00010756144840449285
166,ampStd_D_L4,0.14305239899870456,0.14305239899870456,0.02046398885928457,1.8649172912907275,0.9361608078750817,0.004145758757693864,0.3023400526972859,0.08586854893885823
167,ampStd_D_L5,0.14208096194595138,0.14208096194595138,0.020186999747486882,1.0115229628005789,0.8013973239389776,0.004410786519002718,0.690644406259269,0.15723842930410453
168,stdA_HV,-0.14082207142529413,0.14082207142529413,0.019830855800510642,-3.5566111769571207,1.8439922057642155,0.004776964957557876,0.09671909259941089,0.0443233822826244
169,p_H_L4,-0.13976217766713797,0.13976217766713797,0.01953346630626064,-2.178832876184517,2.36802317136915,0.005106271092845406,0.3983890553777566,0.07180658840852715
170,ampStd_D_L2,0.1381795681335114,0.1381795681335114,0.01909359304956372,11.685382771193016,1.2002773515792948,0.005636102323303075,0.02564936504772322,0.013237300943464467
171,orientEntropy_L2,-0.13802060135322927,0.13802060135322927,0.019049686397907033,-4.589793369943066,5.291248327516499,0.005691962275307697,0.8260172129630157,0.033662730124184526
172,ampEntropy_V_L5,0.1373589994774967,0.1373589994774967,0.018867494737458936,4.279575400456088,-1.8839050131283117,0.005929826662908096,0.790710455239947,0.03592981579052954
173,p_H_L1,-0.13293193426859312,0.13293193426859312,0.01767089914838956,-2.1220062512556415,2.4826012742160835,0.007764494192664705,0.46305295926185663,0.07012634750791316
174,phaseVar_H_L1,0.13126005473855198,0.13126005473855198,0.017229201969967665,12.75414401642493,-0.5184705936802683,0.008579602707734694,0.15825998131123964,0.011520725228428284
175,phaseConc_H_L1,-0.13126005473855165,0.13126005473855165,0.017229201969967575,-12.754144016424895,12.235673422744632,0.00857960270773486,0.8417400186887604,0.011520725228428282
176,phaseVar_D_L4,0.13077174445232376,0.13077174445232376,0.01710124914710387,7.776984625584305,0.7190549514210564,0.008831638326973357,0.10041746077391393,0.01882353695824221
177,phaseConc_D_L4,-0.13077174445232342,0.13077174445232342,0.017101249147103783,-7.776984625584287,8.496039577005345,0.008831638326973534,0.8995825392260861,0.0188235369582422
178,axisMean_k_V_L5,0.1284301843640415,0.1284301843640415,0.016494312255781688,345.5297398879393,1.46042515284169,0.010134047006180506,0.00011453383772738229,0.00041608324431428384
179,specEntropy_D,0.12648272220062634,0.12648272220062634,0.015997879015280814,2.646268022725874,0.47069224831423195,0.011344181570594523,0.3889657974347951,0.05350519233059807
180,axisConc_D_L3,-0.12570887959904947,0.12570887959904947,0.015802722410048316,-2222.383924309908,1.761746254558792,0.01185945711981134,0.00011777724437962229,6.33206585660184e-05
181,A_HV_L4,-0.1256850049939481,0.1256850049939481,0.01579672048032876,-0.8336597710349678,1.4545751472726658,0.011875678013835472,-0.054488478760274545,0.1687691939971235
182,meanOrientEntropy,0.12435608649915846,0.12435608649915846,0.01546443624938618,4.56545683324139,-2.649043122254012,0.012810050244722072,0.9087903519412466,0.0304916804506274
183,p_H_L6,-0.11492425300183783,0.11492425300183783,0.01320758392803043,-1.6089628690724371,2.1110751029427703,0.02150983672207633,0.3797944096093736,0.07995842338084778
184,axisConc_V_L3,-0.1148644096916535,0.1148644096916535,0.013193832613812023,-683.7347350296193,1.7456943779990197,0.02157837493237925,0.0003593416648466401,0.00018805998445916758
185,axisMean_j_D_L1,-0.11480917073168719,0.11480917073168719,0.013181145684097697,-3574.0047964003084,1.4683451612278515,0.021641807827226512,-8.856965945885342e-06,3.5960026521150545e-05
186,ampEntropy_V_L1,0.1142078735649874,0.1142078735649874,0.013043438384236149,1.4926682914438218,0.9436633670553662,0.022342826222750235,0.3727128365582837,0.08565077412788023
187,ampKurt_V_L6,-0.11412749967804411,0.11412749967804411,0.01302508618276196,-0.06747127123604212,1.846506740211142,0.022438003933850665,5.135618965869481,1.8935202948373393
188,ampStd_D_L6,0.11363442867291138,0.11363442867291138,0.012912783379818982,0.4679617832824185,0.9426157696629067,0.023029611350783408,1.1910892090961789,0.27183044732122885
189,p_V_L4,0.11311632941668122,0.11311632941668122,0.012795303980703141,1.7160619123648975,0.7370020385770556,0.023665743126232732,0.4446214649513783,0.0737888778734125
190,ampStd_H_L4,0.11252962363453563,0.11252962363453563,0.01266291619533024,0.9969225202489521,0.9841575007481524,0.02440439629186452,0.5174348946626575,0.12635836970615286
191,share_H,-0.11230526730540315,0.11230526730540315,0.012612473064538053,-1.6596290482266256,2.1340489116679624,0.024692073351572936,0.3820425488126198,0.07575087479828649
192,ampEntropy_D_L5,0.11210436025546616,0.11210436025546616,0.012567387588287342,4.181884116247329,-1.8236913476016055,0.024952161943888083,0.794783225744707,0.03000883012088969
193,axisMean_k_H_L1,-0.10851486603372788,0.10851486603372788,0.01177547615031791,-429.0133511723927,1.3767764682670578,0.030013153956134537,-0.00028722540078578244,0.00028315027320064974
194,E_D_L1,0.10846304715730128,0.10846304715730128,0.01176423259864696,262.50539049471945,1.3774062413379096,0.03009222186971189,0.0004670142522827792,0.0004625323675910467
195,phaseConc_H_L3,-0.1083893123148681,0.1083893123148681,0.011748243024090018,-5.938084420938582,6.855604112344933,0.03020503769020975,0.901907708395028,0.020433306411391256
196,phaseVar_H_L3,0.108389312314868,0.108389312314868,0.011748243024089994,5.9380844209385755,0.9175196914063518,0.030205037690209983,0.09809229160497202,0.02043330641139125
197,ampStd_H_L5,0.10687922085377995,0.10687922085377995,0.01142316785031107,0.5680710349567331,0.9389634940052077,0.032596408601999464,0.9876168145723596,0.21061494627511454
198,std_G,0.10669050389905302,0.10669050389905302,0.011382863622233848,2.973041255209979,0.976977978532736,0.03290632111164216,0.17592154853240477,0.040171993608706484
199,p_H_L5,-0.10654392675253713,0.10654392675253713,0.011351608327849996,-1.759500882178385,2.1743033369614504,0.033148762030977386,0.38323557765234867,0.06778564992283082
200,phaseVar_V_L2,-0.10599844128550609,0.10599844128550609,0.011235669554956883,-6.859295759573973,2.3661682497838705,0.03406442785534973,0.1262765566822078,0.017298900635483033
201,phaseConc_V_L2,0.10599844128550594,0.10599844128550594,0.01123566955495685,6.859295759573963,-4.493127509790094,0.03406442785535005,0.8737234433177922,0.017298900635483033
202,axisConc_H_L6,0.10325316306055458,0.10325316306055458,0.010661215682009473,203.1731713614785,1.2468239654229454,0.03900629195572721,0.0012461095767738587,0.0005688995096348829
203,axisMean_k_V_L2,0.10075367085760242,0.10075367085760242,0.010151302191282083,539.495446245176,1.4251449146828876,0.04402061748694437,0.0001387501708088452,0.00020906033849980821
204,phaseVar_V_L3,0.09971472173374817,0.09971472173374817,0.009943025730438829,6.5976437795329135,0.7822654752891219,0.046258935415369656,0.10878649237435653,0.016918777249033817
205,phaseConc_V_L3,-0.0997147217337473,0.0997147217337473,0.009943025730438657,-6.597643779532858,7.379909254821986,0.04625893541537155,0.8912135076256434,0.01691877724903381
206,ampMean_D_L1,0.09843073478466535,0.09843073478466535,0.00968860955024913,15.036124878707838,1.2898418276823251,0.04915631092809874,0.01397688393871169,0.007328133246774902
207,axisConc_D_L2,-0.09734825939096359,0.09734825939096359,0.00947668360645033,-3311.1308077956346,1.7255292355866925,0.051715414446113564,6.81124512072168e-05,3.291170691288349e-05
208,A_HV_L5,-0.09583403294351898,0.09583403294351898,0.009184161870219481,-0.6442563532824426,1.477164240130116,0.05548073494305084,-0.035445145016479045,0.16651739535505233
209,axisMean_k_H_L6,-0.09313162471811649,0.09313162471811649,0.008673499522636087,-135.04991468055098,1.5102204855356627,0.06276543276560212,7.567931871588694e-05,0.0007719717710462921
210,p_D_L1,-0.09187794201925137,0.09187794201925137,0.008441556229692917,-1.2343435245840122,1.734085273411912,0.06640313091871304,0.18964353824499675,0.08332470218530441
211,A_D_L1,-0.09187794201925137,0.09187794201925137,0.008441556229692917,-1.2343435245840122,1.734085273411912,0.06640313091871304,0.18964353824499675,0.08332470218530441
212,axisMean_i_D_L3,-0.09142366032488265,0.09142366032488265,0.008358285667199523,-1614.4507133872432,1.5025774876633826,0.06776325783488207,1.5965105915032037e-06,6.339169556931069e-05
213,axisMean_i_D_L5,0.09117602489355318,0.09117602489355318,0.00831306751538983,559.6618235600727,1.5030472678809372,0.06851424477395603,-5.444837851460366e-06,0.00018237005326736735
214,axisMean_j_H_L3,0.08767295874298936,0.08767295874298936,0.007686547694749914,473.3241273946828,1.4824180309681405,0.07988642310509919,3.714572745031168e-05,0.00020735073280768085
215,E_smooth_final,-0.08765378291054716,0.08765378291054716,0.00768318565852933,-0.00010638509451463186,2.2155181031517905,0.07995264273280864,6725.736405238426,922.3344589454824
216,meanE_smoothByLevel,-0.08552418950171312,0.08552418950171312,0.007314386989924936,-0.00046675443079357507,2.1987862984910644,0.08758775873805147,1497.1176541441487,205.11577966953675
217,axisConc_H_L2,-0.08536822285650157,0.08536822285650157,0.007287733473677317,-687.7905617053906,1.636973448370362,0.0881692161119822,0.00019914993894468906,0.00013894361149630185
218,axisConc_D_L4,-0.08482822792937383,0.08482822792937383,0.007195828253637799,-1054.4011754804608,1.7046644644113447,0.0902063520888921,0.00019410492815325712,9.006023327606741e-05
219,axisMean_i_H_L3,0.0844561483941889,0.0844561483941889,0.007132841001581256,1014.6310342252877,1.4992542618927918,0.09163185676647354,7.34984523490044e-07,9.31797807285423e-05
220,ampStd_D_L1,0.08400332642202468,0.08400332642202468,0.00705655884996523,12.551807119129522,1.3401891553237169,0.0933909689963439,0.012732098506574743,0.007491844960192656
221,axisConc_V_L4,-0.08382113932978126,0.08382113932978126,0.007025983398542603,-473.8475359917049,1.6990619202595447,0.09410629620774992,0.0004200969829735055,0.00019802202042971807
222,p_V_L5,0.0816415436535994,0.0816415436535994,0.006665341650142575,1.3135452725928105,0.9592304955998378,0.10300776352227943,0.4116869937286104,0.06957684254288232
223,axisMean_i_V_L4,-0.08062492213209509,0.08062492213209509,0.006500378068806396,-474.4588846439254,1.514073287843241,0.10738166461649845,2.9661764799288837e-05,0.00019022573856079857
224,orientEntropy_L3,0.08012111891129696,0.08012111891129696,0.006419393695598187,2.2400160024022258,-0.48323302324378115,0.10960286919349504,0.8853655603874853,0.04004003414177411
225,log2E_smooth_final,-0.07946603749862821,0.07946603749862821,0.006314851115733385,-0.4492099347003823,7.205864604969092,0.11254496491278652,12.702000032067046,0.19802989612110117
